BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1647,12,714 MADISON STREET,11221,2,0,2,1967,1905,1125000,4/10/2017
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1347,9,"321 EAST 54TH STREET, 7G",10022,0,0,0,0,1929,340000,3/1/2017
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS                    ,1,12241,24,118-14 GUY R. BREWER BLVD.,11434,2,0,2,5580,1989,0,3/23/2017
1,LOWER EAST SIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,311,13,"387 GRAND STREET, K1302",10002,0,0,0,0,1960,0,2/10/2017
4,WHITESTONE,01 ONE FAMILY DWELLINGS                    ,1,4658,45,147-23 24 AVE,11357,1,0,1,2725,1935,0,8/4/2017
3,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,1,5585,14,1114 39TH   STREET,11218,3,0,3,1903,1920,0,7/5/2017
1,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS             ,2,2177,234,"330 HAVEN AVENUE, 5J",10033,0,0,0,0,1951,239000,4/21/2017
2,SOUNDVIEW,02 TWO FAMILY DWELLINGS                    ,1,3436,133,100 LIGHTHOUSE COURT,10473,2,0,2,1952,2015,590330,4/18/2017
3,EAST NEW YORK,01 ONE FAMILY DWELLINGS                    ,1,4068,12,591 ESSEX STREET,11208,1,0,1,2000,1989,380000,4/28/2017
2,KINGSBRIDGE/JEROME PARK,02 TWO FAMILY DWELLINGS                    ,1,3249,118,2751 CLAFLIN AVENUE,10468,2,0,2,3742,1940,0,5/2/2017
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1209,53,"50 WEST 96TH STREET, 2A",10025,0,0,0,0,1929,2500000,2/2/2017
3,CARROLL GARDENS,03 THREE FAMILY DWELLINGS                  ,1,470,36,199 LUQUER STREET,11231,3,0,3,2992,1950,0,4/13/2017
3,SHEEPSHEAD BAY,13 CONDOS - ELEVATOR APARTMENTS            ,2,7404,1221,2752 OCEAN AVENUE,11229,1,0,1,0,2004,687318,6/6/2017
3,GRAVESEND,44 CONDO PARKING                           ,4,6580,1239,1457 WEST 5TH   STREET,11204,0,0,1,0,2014,0,3/28/2017
2,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY DWELLINGS                    ,1,2290,140,465 BROOK AVENUE,10455,2,0,2,2000,1991,590000,6/2/2017
3,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,1216,80,1335 BERGEN STREET,11213,2,0,2,2143,1901,40000,4/4/2017
5,BULLS HEAD,01 ONE FAMILY DWELLINGS                    ,1,1602,18,151 ROMAN AVENUE,10314,1,0,1,3334,2015,560037,3/1/2017
5,WILLOWBROOK,04 TAX CLASS 1 CONDOS                      ,1A,1965,1116,1235 FOREST HILL ROAD,10314,1,0,1,0,2015,425880,2/23/2017
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1334,22,"25 TUDOR CITY PLACE, 1903",10017,0,0,0,0,1928,335018,5/15/2017
5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,1,3737,6,435 LINCOLN AVENUE,10306,1,0,1,2000,2016,465426,1/12/2017
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,4343,125,"139-25 31ST ROAD, 2H",11354,0,0,0,0,1957,243000,1/24/2017
3,FLATBUSH-LEFFERTS GARDEN,44 CONDO PARKING                           ,4,5042,1023,59 HAWTHORNE ST,11225,0,0,1,0,2007,0,3/17/2017
1,CHELSEA,17 CONDO COOPS                             ,2,769,1104,"200 WEST 20TH STREET, 711",10011,0,0,0,0,1980,1300000,8/3/2017
4,MASPETH,02 TWO FAMILY DWELLINGS                    ,1,2757,52,62-73 60TH   ROAD,11378,2,0,2,2300,1920,769000,5/17/2017
5,WILLOWBROOK,01 ONE FAMILY DWELLINGS                    ,1,776,13,3 FILLMORE AVENUE,10314,1,0,1,2554,1980,595000,8/3/2017
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,4921,8,167-16 29TH AVENUE,11358,1,0,1,3050,1940,0,8/7/2017
1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,699,1219,540 WEST 28TH STREET,10001,1,0,1,0,2009,1255000,5/12/2017
3,BUSHWICK,03 THREE FAMILY DWELLINGS                  ,1,3227,18,612 HART STREET,11221,3,0,3,1950,2009,350000,4/6/2017
3,PROSPECT HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS            ,2,1129,1038,550 VANDERBILT AVENUE,11238,1,0,1,0,2015,1033523,4/19/2017
4,CORONA,01 ONE FAMILY DWELLINGS                    ,1,1737,15,35-36 97TH STREET,11368,1,0,1,3325,1920,0,6/13/2017
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1515,1704,170 EAST 87TH   STREET,10128,1,0,1,0,0,0,2/27/2017
5,ARROCHAR,29 COMMERCIAL GARAGES                      ,4,3108,60,N/A CEDAR AVENUE,0,0,0,0,5388,0,0,2/6/2017
5,DONGAN HILLS,02 TWO FAMILY DWELLINGS                    ,1,3341,52,296 CROMWELL AVENUE,10305,2,0,2,3880,1995,0,7/6/2017
3,MADISON,01 ONE FAMILY DWELLINGS                    ,1,6833,49,2707 AVENUE S,11229,1,0,1,2533,1925,995000,6/6/2017
4,COLLEGE POINT,31 COMMERCIAL VACANT LAND                  ,4,4061,32,N/A 18TH   AVENUE,11356,0,0,0,5000,0,0,5/4/2017
4,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,1,13573,43,141-05 243RD   STREET,11422,2,0,2,4000,1945,790000,3/3/2017
2,MOTT HAVEN/PORT MORRIS,41 TAX CLASS 4 - OTHER                     ,4,2278,53,N/A BROWN PLACE,10454,0,0,0,4000,0,0,5/23/2017
5,WESTERLEIGH,01 ONE FAMILY DWELLINGS                    ,1,1444,8,117 CRYSTAL AVENUE,10302,1,0,1,3640,1930,0,2/24/2017
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,4982,31,33-26 145TH   STREET,11354,2,0,2,3300,1930,0,4/28/2017
1,CHELSEA,10 COOPS - ELEVATOR APARTMENTS             ,2,694,42,"520 WEST 23RD STREET, 12A",10011,0,0,0,0,2003,655000,7/14/2017
2,WESTCHESTER,02 TWO FAMILY DWELLINGS                    ,1,3968,15,1533 GLOVER,10462,2,0,2,2068,1901,680000,8/10/2017
4,ELMHURST,17 CONDO COOPS                             ,2,1518,1203,"83-06 VIETOR AVENUE, 5A",11373,0,0,0,0,1932,210000,2/20/2017
3,WILLIAMSBURG-SOUTH,09 COOPS - WALKUP APARTMENTS               ,2,2424,18,"374 SOUTH 2ND STREET, 22",11211,0,0,0,0,1924,350000,7/11/2017
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,1213,154,138 DE HART AVENUE,10303,1,0,1,5624,1950,334000,3/30/2017
4,RICHMOND HILL,22 STORE BUILDINGS                         ,4,9298,77,108-12 JAMAICA AVENUE,11418,1,1,2,1747,1920,499000,1/18/2017
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5192,55,"43-34 UNION STREET, 1A",11355,0,0,0,0,1954,0,8/11/2017
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1552,1350,389 EAST 89TH   STREET,10128,1,0,1,0,2002,998598,3/27/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,193,1028,395 BROADWAY,10013,1,0,1,0,1915,2300000,1/10/2017
3,PROSPECT HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS            ,2,1129,1089,550 VANDERBILT AVENUE,11238,1,0,1,0,2015,872000,5/8/2017
4,CORONA,03 THREE FAMILY DWELLINGS                  ,1,1746,113,35-06 105TH   STREET,11368,3,0,3,1200,2006,1150000,1/3/2017
5,WILLOWBROOK,02 TWO FAMILY DWELLINGS                    ,1,1975,513,180 WALCOTT AVENUE,10314,2,0,2,4100,1975,0,7/3/2017
3,CONEY ISLAND,44 CONDO PARKING                           ,4,7281,1065,40 WEST BRIGHTON AVENUE,11224,0,0,1,0,2014,0,4/4/2017
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,1,10258,95,174-10 108TH AVE,11433,2,0,2,3328,1920,475000,7/12/2017
1,WASHINGTON HEIGHTS UPPER,13 CONDOS - ELEVATOR APARTMENTS            ,2,2164,1016,4260 BROADWAY,10033,1,0,1,0,0,640000,8/29/2017
3,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS                  ,1,8777,29,2752 EAST 22ND   STREET,11235,3,0,3,3217,1965,0,6/27/2017
2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS                    ,1,3768,4,1208 WHITE PLAINS ROAD,10472,2,0,2,2017,1930,525000,6/8/2017
4,FOREST HILLS,13 CONDOS - ELEVATOR APARTMENTS            ,2,2264,1125,112-01 QUEENS BOULEVARD,11375,1,0,1,0,0,850000,8/17/2017
4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,5973,63,201-01 27TH   AVENUE,11360,1,0,1,6373,1988,0,1/26/2017
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,123,1250,30 PARK PLACE,10007,1,0,1,0,2008,19975437,6/21/2017
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1515,1,"1045 PARK AVENUE, 5-A",10028,0,0,0,0,1923,2600000,7/31/2017
4,EAST ELMHURST,22 STORE BUILDINGS                         ,4,1693,6,106-14 ASTORIA BOULEVARD,11369,2,1,3,2886,1901,0,6/8/2017
3,WINDSOR TERRACE,44 CONDO PARKING                           ,4,5256,1122,1671 11TH   AVENUE,11215,0,0,1,0,0,0,7/17/2017
3,BAY RIDGE,14 RENTALS - 4-10 UNIT                     ,2A,5872,13,6901 3RD AVENUE,11209,4,1,5,2643,1920,900500,2/21/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2152,133,"65-30 108TH STREET, 2C",11375,0,0,0,0,1950,159000,1/18/2017
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1040,1265,350 WEST 50TH   STREET,10019,1,0,1,0,1989,879000,5/25/2017
2,BEDFORD PARK/NORWOOD,07 RENTALS - WALKUP APARTMENTS             ,2,3277,1,2627 WEBSTER AVENUE,10458,16,0,16,3130,1910,3600000,7/26/2017
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1487,1400,530 EAST 76TH   STREET,10021,1,0,1,0,1986,1766750,3/23/2017
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1436,32,"88-11 34 AVENUE, 5G",11372,0,0,0,0,1950,170000,5/12/2017
3,GRAVESEND,02 TWO FAMILY DWELLINGS                    ,1,6577,84,1431 WEST 8TH STREET,11204,2,0,2,1918,1930,0,4/12/2017
5,WEST NEW BRIGHTON,09 COOPS - WALKUP APARTMENTS               ,2,101,537,"551 CASTLETON AVENUE, 2C",10301,0,0,0,0,1950,155000,7/28/2017
1,EAST VILLAGE,09 COOPS - WALKUP APARTMENTS               ,2,445,51,"71 EAST 3RD STREET, 2/2A",10003,0,0,0,0,1900,435000,1/30/2017
3,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS             ,2,5998,1,"8105 4TH AVENUE, 1C",11209,0,0,0,0,1954,300000,8/7/2017
3,SPRING CREEK,01 ONE FAMILY DWELLINGS                    ,1,4452,330,707 VANDALIA AVENUE,11239,1,0,1,1900,2016,419666,3/10/2017
1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1535,12,"217 EAST 89TH STREET, 1C",10128,0,0,0,0,1920,330000,6/28/2017
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS                    ,1,5748,39,1427 65TH   STREET,11219,2,0,2,2000,1910,0,8/26/2017
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1253,11,"33-15 80TH STREET, 22",11372,0,0,0,0,1923,950000,3/30/2017
3,CYPRESS HILLS,29 COMMERCIAL GARAGES                      ,4,3663,15,15 WYONA STREET,11207,0,1,1,2500,1994,10000,4/19/2017
2,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3301,98,2765 BRIGGS AVENUE,10458,2,0,2,1882,1901,625000,4/7/2017
3,FLATLANDS,01 ONE FAMILY DWELLINGS                    ,1,7793,13,1427 EAST 45TH   STREET,11234,1,0,1,2300,1930,540000,6/6/2017
4,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,8932,21,87-14 92ND   STREET,11421,1,0,1,1987,1901,0,6/7/2017
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,5092,19,90 WESTMINSTER ROAD,11218,2,0,2,3250,1960,0,5/23/2017
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,6374,23,58-32 138TH   STREET,11355,2,0,2,4000,2007,900000,2/21/2017
1,KIPS BAY,13 CONDOS - ELEVATOR APARTMENTS            ,2,943,1241,330 EAST 38TH STREET,10016,1,0,1,0,0,1730000,4/25/2017
3,OCEAN HILL,38 ASYLUMS AND HOMES                       ,4,1487,7,115 RALPH AVENUE,11221,0,1,1,1440,1905,0,6/14/2017
2,BRONXDALE,01 ONE FAMILY DWELLINGS                    ,1,4522,21,2752 YATES AVENUE,10469,1,0,1,5000,1915,465000,2/13/2017
4,HOLLISWOOD,10 COOPS - ELEVATOR APARTMENTS             ,2,10538,70,"87-50 204TH STREET, B23",11423,0,0,0,0,1954,155000,6/1/2017
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5450,15,45-35 171ST   STREET,11358,1,0,1,4000,1930,817500,8/29/2017
2,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,4653,89,3825 CARPENTER AVENUE,10467,1,0,1,2861,1925,349000,1/31/2017
4,HILLCREST,02 TWO FAMILY DWELLINGS                    ,1,6861,2,160-19 GRAND CENTRAL PKWY,11432,2,0,2,2020,1935,608000,8/21/2017
2,BATHGATE,30 WAREHOUSES                              ,4,2924,10,1888 BATHGATE AVENUE,10457,0,1,1,9240,1990,0,1/26/2017
4,FLUSHING-SOUTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,6801,1521,71-33 162ND STREET,11365,1,0,1,0,2008,438048,2/14/2017
1,SOUTHBRIDGE,10 COOPS - ELEVATOR APARTMENTS             ,2,94,1,"66 FRANKFORT STREET, 4E",10038,0,0,0,0,1971,940000,6/26/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,212,1412,11 BEACH STREET,10013,1,0,1,0,1900,8350000,1/30/2017
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,5754,33,1364 65TH STREET,11219,2,0,2,2000,1920,1135000,2/27/2017
4,ELMHURST,01 ONE FAMILY DWELLINGS                    ,1,2904,25,53-43 80TH   STREET,11373,1,0,1,1328,1940,0,7/20/2017
1,UPPER WEST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2C,1249,44,"322 WEST 88TH STREET, 2A",10024,0,0,0,0,1900,0,5/16/2017
3,BERGEN BEACH,02 TWO FAMILY DWELLINGS                    ,1,8431,20,2149 EAST 71ST   STREET,11234,2,0,2,4000,1960,0,5/3/2017
1,MIDTOWN CBD,13 CONDOS - ELEVATOR APARTMENTS            ,2,1292,1052,721 5 AVENUE,10022,1,0,1,0,1983,0,4/20/2017
4,SUNNYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,209,25,"50-21 39 PLACE, 3F",11104,0,0,0,0,1961,154000,1/4/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2155,1,"105-24 67TH AVENUE, 3A",11375,0,0,0,0,1950,650000,6/16/2017
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1245,80,"316 WEST 84TH STREET, 1E",10024,0,0,0,0,1949,665000,7/27/2017
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4457,19,700 LOGAN STREET,11208,2,0,2,2400,1920,0,8/10/2017
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1500,20,"47 EAST 88TH STREET, 3B",10128,0,0,0,0,1930,3725000,7/27/2017
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,12584,22,166-06 140TH AVENUE,11434,2,0,2,3010,2007,650000,3/30/2017
2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10,"2750 OLINVILLE AVE, 1J",10467,0,0,0,0,1955,150000,1/12/2017
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,4978,1420,39TH   AVENUE,11354,1,0,1,0,2014,716848,6/30/2017
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5953,550,"5635 NETHERLAND AVE, 2G",10471,0,0,0,0,1949,205500,1/20/2017
4,FLUSHING-SOUTH,02 TWO FAMILY DWELLINGS                    ,1,6902,38,64-02 174TH STREET,11365,2,0,2,1748,1999,950000,1/20/2017
1,GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS             ,2,608,39,"101 WEST 12TH STREET, 2-S",10011,0,0,0,0,1961,742500,6/19/2017
4,HILLCREST,02 TWO FAMILY DWELLINGS                    ,1,7050,8,82-03 172ND STREET,11432,2,0,2,4000,2008,0,6/23/2017
3,PARK SLOPE,02 TWO FAMILY DWELLINGS                    ,1,1095,67,607 11TH STREET,11215,2,0,2,1875,1899,2926000,6/26/2017
3,OCEAN PARKWAY-NORTH,07 RENTALS - WALKUP APARTMENTS             ,2A,5374,69,527 EAST 5 STREET,11218,4,0,4,2625,1930,0,3/1/2017
2,PELHAM PARKWAY SOUTH,10 COOPS - ELEVATOR APARTMENTS             ,2,4291,14,"2102 HOLLAND AVENUE, 6G",10462,0,0,0,0,1952,190000,4/24/2017
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1466,1135,422 EAST 72ND STREET,10021,1,0,1,0,1990,0,1/31/2017
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,1916,1210,171 WEST 131 STREET,10027,1,0,1,0,2013,1006031,4/17/2017
3,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS             ,2,5939,6,"7501 RIDGE BLVD, #5A",11209,0,0,0,0,1927,300000,1/19/2017
3,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS                    ,1,7359,57,2161 EAST 26TH   STREET,11229,1,1,2,1600,1940,623500,6/16/2017
1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,602,1065,1 MORTON SQUARE,10014,1,0,1,0,2002,5850000,6/14/2017
3,GRAVESEND,02 TWO FAMILY DWELLINGS                    ,1,6647,151,1794 WEST 9TH   STREET,11223,2,0,2,1700,1910,820000,5/24/2017
3,BUSH TERMINAL,29 COMMERCIAL GARAGES                      ,4,635,1,103 20TH STREET,11232,0,1,1,3012,1940,1100000,8/18/2017
3,BOROUGH PARK,43 CONDO OFFICE BUILDINGS                  ,4,5686,1222,849 57TH   STREET,11220,0,0,1,0,2008,0,7/19/2017
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1370,15,"425 E 58TH STREET, 23E",10022,0,0,0,0,1975,2950000,2/23/2017
4,GLEN OAKS,09 COOPS - WALKUP APARTMENTS               ,2,8535,2,"260-15 UNION TURNPIKE, 44A51",11004,0,0,0,0,1948,215000,2/10/2017
2,PELHAM PARKWAY SOUTH,01 ONE FAMILY DWELLINGS                    ,1,4324,61,2145 BOGART AVENUE,10462,1,0,1,1800,1940,498164,6/5/2017
4,OAKLAND GARDENS,09 COOPS - WALKUP APARTMENTS               ,2,7628,2,"216-75 68TH AVENUE, UPPER",11364,0,0,0,0,1949,0,3/16/2017
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,1,10266,80,109-12 175TH   STREET,11433,2,0,2,4000,1995,685000,4/27/2017
4,BAYSIDE,09 COOPS - WALKUP APARTMENTS               ,2,5784,1,"199-01 21ST AVENUE, 1-368",11357,0,0,0,0,1952,315000,6/20/2017
1,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,572,15,54 WEST 9TH STREET,10011,5,0,5,1565,1900,10250000,6/28/2017
4,ELMHURST,02 TWO FAMILY DWELLINGS                    ,1,1593,1,40-15 95TH   STREET,11373,2,0,2,2967,1910,0,3/16/2017
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,176,1116,56 LEONARD STREET,10013,1,0,1,0,2007,7358124,5/16/2017
3,FORT GREENE,10 COOPS - ELEVATOR APARTMENTS             ,2,2061,40,"122 ASHLAND PLACE, 9B",11201,0,0,0,0,1958,957975,4/13/2017
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,4979,41,4523 FOSTER AVENUE,11203,1,0,1,1675,1950,529000,8/9/2017
4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,7334,18,4526 215TH PLACE,11361,1,0,1,2025,1930,0,5/3/2017
3,PARK SLOPE SOUTH,03 THREE FAMILY DWELLINGS                  ,1,1016,1,461 4 AVENUE,11215,3,0,3,2000,1899,101000,2/2/2017
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8264,38,9908 AVENUE L,11236,2,0,2,3000,1955,819516,5/4/2017
2,SOUNDVIEW,05 TAX CLASS 1 VACANT LAND                 ,1B,3562,70,607 BOLTON AVENUE,10473,0,0,0,3060,0,0,1/18/2017
4,HOWARD BEACH,10 COOPS - ELEVATOR APARTMENTS             ,2,11434,7,"88-08 151ST AVENUE, 3J",11414,0,0,0,0,1962,166500,2/28/2017
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1032,1543,350 WEST 42ND STREET,10036,1,0,1,0,2004,1388000,1/25/2017
3,BAY RIDGE,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,6071,1008,55 DAHLGREN PLACE,11228,1,0,1,0,0,545000,4/13/2017
4,GLENDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,3637,55,71-17 FRESH POND ROAD,11385,6,0,6,3883,1931,0,4/8/2017
5,NEW SPRINGVILLE,02 TWO FAMILY DWELLINGS                    ,1,2102,5,15 KNAPP STREET,10314,2,0,2,4624,1970,670000,1/18/2017
4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,11332,59,116-40 232ND   STREET,11411,1,0,1,4000,1940,0,4/11/2017
4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,12772,226,118-48 236TH   STREET,11411,1,0,1,4000,1945,520000,6/13/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2124,56,"10221 63RD ROAD, B63",11375,0,0,0,0,1955,225000,1/9/2017
3,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,7674,78,1576 EAST 21ST STREET,11210,1,0,1,2000,1930,690500,2/24/2017
4,RICHMOND HILL,14 RENTALS - 4-10 UNIT                     ,2A,9429,9,111-20 101 AVE,11419,4,1,5,2008,1930,0,6/23/2017
1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,722,13,"443 WEST 24TH STREET, H",10011,0,0,0,0,1900,1750000,3/1/2017
3,SUNSET PARK,01 ONE FAMILY DWELLINGS                    ,1,728,62,331 44TH   STREET,11220,1,0,1,2504,1899,0,8/29/2017
3,GOWANUS,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,1003,1304,186 8 STREET,11215,1,0,1,0,1990,999500,5/16/2017
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3943,3273,2055 ST RAYMOND AVE,10462,1,0,1,0,0,205000,8/11/2017
3,EAST NEW YORK,05 TAX CLASS 1 VACANT LAND                 ,1B,4245,5,277 MILFORD STREET,11208,0,0,0,2000,0,0,6/22/2017
1,SOHO,09 COOPS - WALKUP APARTMENTS               ,2,489,37,"57 THOMPSON STREET, 6F",10012,0,0,0,0,1920,435000,5/25/2017
3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS                  ,1,4114,26,150 ETNA STREET,11208,3,0,3,2373,1910,0,6/25/2017
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS                    ,1,3379,53,2037 HIMROD STREET,11385,2,0,2,1900,1910,0,2/10/2017
3,BENSONHURST,02 TWO FAMILY DWELLINGS                    ,1,6248,41,7702 18TH AVENUE,11214,2,1,3,1895,1931,950000,2/24/2017
